date,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2006-06-13,combined,ust2y,dealer,39390,60610,18781,-21220,,,,15,19,549479
2006-06-13,combined,ust2y,asset_mgr,210705,103700,25894,107005,,,,27,22,549479
2006-06-13,combined,ust2y,lev_money,86611,179082,16845,-92471,,,,19,37,549479
2006-06-13,combined,ust2y,other_rept,36399,36438,2297,-39,,,,8,13,549479
2006-06-13,combined,ust2y,nonrept,112557,105831,,6726,,,,,,549479
2006-06-20,combined,ust2y,dealer,35331,51824,19081,-16493,4727,,,13,17,562365
2006-06-20,combined,ust2y,asset_mgr,227583,98603,20744,128980,21975,,,28,21,562365
2006-06-20,combined,ust2y,lev_money,102675,203918,14039,-101243,-8772,,,19,34,562365
2006-06-20,combined,ust2y,other_rept,38230,37043,4073,1187,1226,,,9,14,562365
2006-06-20,combined,ust2y,nonrept,100611,113040,,-12429,-19155,,,,,562365
2006-06-27,combined,ust2y,dealer,34296,63381,11613,-29085,-12592,,,14,17,562324
2006-06-27,combined,ust2y,asset_mgr,224220,97363,20782,126857,-2123,,,28,20,562324
2006-06-27,combined,ust2y,lev_money,105281,193656,13582,-88375,12868,,,22,30,562324
2006-06-27,combined,ust2y,other_rept,47054,45670,2994,1384,197,,,11,14,562324
2006-06-27,combined,ust2y,nonrept,102501,113284,,-10783,1646,,,,,562324
2006-07-03,combined,ust2y,dealer,38878,52565,15107,-13687,15398,,,12,15,562709
2006-07-03,combined,ust2y,asset_mgr,216747,98133,22610,118614,-8243,,,28,20,562709
2006-07-03,combined,ust2y,lev_money,89119,192806,12353,-103687,-15312,,,21,32,562709
2006-07-03,combined,ust2y,other_rept,47325,49867,2787,-2542,-3926,,,11,15,562709
2006-07-03,combined,ust2y,nonrept,117783,116481,,1302,12085,,,,,562709
2006-07-11,combined,ust2y,dealer,46534,76794,13497,-30260,-16573,,,13,22,581531
2006-07-11,combined,ust2y,asset_mgr,217844,108999,28495,108845,-9769,,,29,23,581531
