date,scheme,basis,contract,category,long,short,spread,net,net_chg,pctile,z,traders_long,traders_short,oi
2006-06-13,disagg,combined,gold,prod_merc,42587,128892,,-86305,,,,23,28,382474
2006-06-13,disagg,combined,gold,swap,19370,66611,22998,-47241,,,,10,12,382474
2006-06-13,disagg,combined,gold,m_money,103211,30916,46704,72295,,,,64,16,382474
2006-06-13,disagg,combined,gold,other_rept,33230,10656,58412,22574,,,,92,33,382474
2006-06-13,disagg,combined,gold,nonrept,55961,17284,,38677,,,,,,382474
2006-06-20,disagg,combined,gold,prod_merc,47440,126992,,-79552,6753,,,23,25,390281
2006-06-20,disagg,combined,gold,swap,22404,64682,25806,-42278,4963,,,10,13,390281
2006-06-20,disagg,combined,gold,m_money,94632,30963,48730,63669,-8626,,,54,19,390281
2006-06-20,disagg,combined,gold,other_rept,32947,11142,64458,21805,-769,,,97,30,390281
2006-06-20,disagg,combined,gold,nonrept,53864,17507,,36357,-2320,,,,,390281
2006-06-27,disagg,combined,gold,prod_merc,48449,121890,,-73441,6111,,,23,25,384321
2006-06-27,disagg,combined,gold,swap,22425,62640,25151,-40215,2063,,,9,12,384321
2006-06-27,disagg,combined,gold,m_money,91042,32287,49614,58755,-4914,,,48,23,384321
2006-06-27,disagg,combined,gold,other_rept,31307,11386,59762,19921,-1884,,,85,33,384321
2006-06-27,disagg,combined,gold,nonrept,56572,21592,,34980,-1377,,,,,384321
2006-07-03,disagg,combined,gold,prod_merc,48087,122568,,-74481,-1040,,,22,23,392868
2006-07-03,disagg,combined,gold,swap,22720,69714,26352,-46994,-6779,,,9,12,392868
2006-07-03,disagg,combined,gold,m_money,92545,30452,50821,62093,3338,,,52,21,392868
2006-07-03,disagg,combined,gold,other_rept,32874,8677,63514,24197,4276,,,91,28,392868
2006-07-03,disagg,combined,gold,nonrept,55955,20771,,35184,204,,,,,392868
2006-07-11,disagg,combined,gold,prod_merc,54509,130618,,-76109,-1628,,,26,28,427008
2006-07-11,disagg,combined,gold,swap,21840,79217,28805,-57377,-10383,,,11,13,427008
2006-07-11,disagg,combined,gold,m_money,104213,27624,54922,76589,14496,,,59,17,427008
2006-07-11,disagg,combined,gold,other_rept,33165,11194,70944,21971,-2226,,,83,42,427008
2006-07-11,disagg,combined,gold,nonrept,58611,23685,,34926,-258,,,,,427008
2006-07-18,disagg,combined,gold,prod_merc,49863,131166,,-81303,-5194,,,27,28,443519
2006-07-18,disagg,combined,gold,swap,21681,83183,33352,-61502,-4125,,,9,14,443519
2006-07-18,disagg,combined,gold,m_money,107413,24296,62395,83117,6528,,,57,22,443519
2006-07-18,disagg,combined,gold,other_rept,31760,9442,74272,22318,347,,,84,38,443519
2006-07-18,disagg,combined,gold,nonrept,62782,25414,,37368,2442,,,,,443519
2006-07-25,disagg,combined,gold,prod_merc,52859,133290,,-80431,872,,,29,28,432413
2006-07-25,disagg,combined,gold,swap,22956,85604,28832,-62648,-1146,,,9,14,432413
2006-07-25,disagg,combined,gold,m_money,99087,22386,64810,76701,-6416,,,59,19,432413
2006-07-25,disagg,combined,gold,other_rept,29740,6244,73980,23496,1178,,,91,32,432413
2006-07-25,disagg,combined,gold,nonrept,60148,17266,,42882,5514,,,,,432413
2006-08-01,disagg,combined,gold,prod_merc,45161,135988,,-90827,-10396,,,20,24,394609
2006-08-01,disagg,combined,gold,swap,21250,73244,23643,-51994,10654,,,8,13,394609
2006-08-01,disagg,combined,gold,m_money,99330,24391,54618,74939,-1762,,,60,18,394609
2006-08-01,disagg,combined,gold,other_rept,32195,4758,57618,27437,3941,,,87,25,394609
2006-08-01,disagg,combined,gold,nonrept,60795,20350,,40445,-2437,,,,,394609
2006-08-08,disagg,combined,gold,prod_merc,46203,142240,,-96037,-5210,,,24,24,402899
2006-08-08,disagg,combined,gold,swap,20703,72061,24259,-51358,636,,,8,13,402899
2006-08-08,disagg,combined,gold,m_money,104600,24271,57785,80329,5390,,,65,16,402899
2006-08-08,disagg,combined,gold,other_rept,33123,6489,57914,26634,-803,,,85,33,402899
2006-08-08,disagg,combined,gold,nonrept,58312,17880,,40432,-13,,,,,402899
2006-08-15,disagg,combined,gold,prod_merc,46986,139790,,-92804,3233,,,24,25,402702
2006-08-15,disagg,combined,gold,swap,20326,66040,25523,-45714,5644,,,8,11,402702
2006-08-15,disagg,combined,gold,m_money,96966,24602,58658,72364,-7965,,,67,16,402702
2006-08-15,disagg,combined,gold,other_rept,33047,5839,56914,27208,574,,,80,40,402702
2006-08-15,disagg,combined,gold,nonrept,64282,25336,,38946,-1486,,,,,402702
2006-08-22,disagg,combined,gold,prod_merc,48070,138621,,-90551,2253,,,25,26,393425
2006-08-22,disagg,combined,gold,swap,22442,62922,25295,-40480,5234,,,10,11,393425
2006-08-22,disagg,combined,gold,m_money,90079,25742,58669,64337,-8027,,,64,15,393425
2006-08-22,disagg,combined,gold,other_rept,36185,6335,56284,29850,2642,,,92,35,393425
2006-08-22,disagg,combined,gold,nonrept,56402,19558,,36844,-2102,,,,,393425
2006-08-29,disagg,combined,gold,prod_merc,51201,136807,,-85606,4945,,,26,26,390836
2006-08-29,disagg,combined,gold,swap,27971,59944,25652,-31973,8507,,,9,10,390836
2006-08-29,disagg,combined,gold,m_money,83122,31194,57680,51928,-12409,,,58,20,390836
2006-08-29,disagg,combined,gold,other_rept,37506,5376,53976,32130,2280,,,88,33,390836
2006-08-29,disagg,combined,gold,nonrept,53728,20207,,33521,-3323,,,,,390836
2006-09-05,disagg,combined,gold,prod_merc,54238,144515,,-90277,-4671,,,25,26,420442
2006-09-05,disagg,combined,gold,swap,23579,67114,27645,-43535,-11562,,,10,12,420442
2006-09-05,disagg,combined,gold,m_money,90955,27781,60112,63174,11246,,,63,21,420442
2006-09-05,disagg,combined,gold,other_rept,38744,5960,62520,32784,654,,,89,39,420442
2006-09-05,disagg,combined,gold,nonrept,62650,24795,,37855,4334,,,,,420442
2006-09-12,disagg,combined,gold,prod_merc,53732,133417,,-79685,10592,,,25,25,403755
2006-09-12,disagg,combined,gold,swap,33464,59988,25866,-26524,17011,,,12,9,403755
2006-09-12,disagg,combined,gold,m_money,78251,31200,58265,47051,-16123,,,51,20,403755
2006-09-12,disagg,combined,gold,other_rept,35724,6633,64278,29091,-3693,,,91,35,403755
2006-09-12,disagg,combined,gold,nonrept,54175,24108,,30067,-7788,,,,,403755
2006-09-19,disagg,combined,gold,prod_merc,61312,135599,,-74287,5398,,,26,27,430959
2006-09-19,disagg,combined,gold,swap,36876,59838,28306,-22962,3562,,,11,9,430959
